text,type,choices,correct
"What is the time complexity of binary search?",single_choice,"O(n)|O(log n)|O(n log n)|O(1)","O(log n)"
"Which data structure uses FIFO order?",single_choice,"Stack|Queue|Tree|Graph","Queue"
"What is the worst-case time complexity of quicksort?",single_choice,"O(n log n)|O(log n)|O(n^2)|O(n)","O(n^2)"
"Which traversal technique uses a queue?",single_choice,"Inorder|Preorder|Postorder|Breadth-First Search","Breadth-First Search"
"What data structure is best for implementing recursion?",single_choice,"Queue|Array|Stack|Heap","Stack"
"What is the height of a balanced binary tree with n nodes?",single_choice,"O(n)|O(log n)|O(n log n)|O(1)","O(log n)"
"Which algorithm is used to find the shortest path in a graph with non-negative weights?",single_choice,"DFS|BFS|Dijkstra's Algorithm|Prim's Algorithm","Dijkstra's Algorithm"
"What is a hash collision?",single_choice,"When two keys map to different values|When two keys map to the same index|When a table overflows|When hashing fails","When two keys map to the same index"
"Which data structure is used in priority queues?",single_choice,"Array|Stack|Heap|Linked List","Heap"
"What is the space complexity of merge sort?",single_choice,"O(1)|O(log n)|O(n)|O(n log n)","O(n)"
"Which OS concept allows multiple processes to share CPU time?",single_choice,"Deadlock|Paging|Scheduling|Segmentation","Scheduling"
"What causes a deadlock?",single_choice,"Mutual exclusion only|Circular wait only|Race condition|All four Coffman conditions","All four Coffman conditions"
"Which layer of the OSI model handles routing?",single_choice,"Transport|Network|Data Link|Application","Network"
"What protocol is used to resolve IP addresses to MAC addresses?",single_choice,"DNS|ARP|ICMP|DHCP","ARP"
"Which protocol is connection-oriented?",single_choice,"UDP|IP|TCP|HTTP","TCP"
"What is the default port number for HTTPS?",single_choice,"21|80|443|8080","443"
"Which algorithm is used in minimum spanning tree construction?",single_choice,"Dijkstra|Kruskal|Bellman-Ford|Floyd-Warshall","Kruskal"
"What does subnetting help with?",single_choice,"Increasing bandwidth|Reducing collisions|Efficient IP address utilization|Encrypting data","Efficient IP address utilization"
"What type of addressing does IPv6 use?",single_choice,"32-bit|64-bit|128-bit|256-bit","128-bit"
"Which scheduling algorithm may cause starvation?",single_choice,"Round Robin|FCFS|Priority Scheduling|Multilevel Queue","Priority Scheduling"
"What is a race condition?",single_choice,"Two processes waiting forever|Multiple processes accessing shared data unsafely|Memory overflow|Disk contention","Multiple processes accessing shared data unsafely"
"Which normal form removes transitive dependency?",single_choice,"1NF|2NF|3NF|BCNF","3NF"
"What does ACID stand for in databases?",single_choice,"Accuracy Consistency Isolation Durability|Atomicity Consistency Isolation Durability|Access Control Integrity Data|Atomicity Control Isolation Dependency","Atomicity Consistency Isolation Durability"
"Which join returns only matching records from both tables?",single_choice,"LEFT JOIN|RIGHT JOIN|FULL JOIN|INNER JOIN","INNER JOIN"
"What is the main purpose of an index in a database?",single_choice,"Store data|Ensure integrity|Speed up retrieval|Encrypt records","Speed up retrieval"
"Which graph traversal uses recursion naturally?",single_choice,"BFS|DFS|Dijkstra|Prim","DFS"
"What is the load factor in hashing?",single_choice,"Table size|Number of collisions|Keys divided by table size|Hash function output","Keys divided by table size"
"Which algorithm detects negative weight cycles?",single_choice,"Dijkstra|Prim|Bellman-Ford|Kruskal","Bellman-Ford"
"What is the main function of the transport layer?",single_choice,"Routing|Error detection|End-to-end communication|Physical transmission","End-to-end communication"
"Which memory allocation technique suffers from external fragmentation?",single_choice,"Paging|Segmentation|Virtual memory|Caching","Segmentation"
