text,type,choices,correct
"What does CPU stand for?",single_choice,"Central Processing Unit|Computer Personal Unit|Central Performance Utility|Control Processing Unit","Central Processing Unit"
"Which language is primarily used for web page structure?",single_choice,"CSS|HTML|JavaScript|Python","HTML"
"What symbol is used for single-line comments in JavaScript?",single_choice,"<!-- -->|#|//|/* */","//"
"Which data type stores true or false values?",single_choice,"String|Integer|Boolean|Float","Boolean"
"What does SQL stand for?",single_choice,"Structured Query Language|Simple Query Language|Standard Question Language|System Query Logic","Structured Query Language"
"Which HTTP method is used to retrieve data?",single_choice,"POST|PUT|GET|DELETE","GET"
"What keyword is used to define a function in Python?",single_choice,"function|def|func|lambda","def"
"Which operator is used for equality comparison in most languages?",single_choice,"=|==|!=|===","=="
"What does OOP stand for?",single_choice,"Object Oriented Programming|Open Operational Process|Object Operating Platform|Optional Object Procedure","Object Oriented Programming"
"Which of the following is NOT a programming language?",single_choice,"Python|Java|HTML|Ruby","HTML"
"What is the purpose of a primary key in a database?",single_choice,"To sort records|To uniquely identify records|To encrypt data|To link tables automatically","To uniquely identify records"
"Which version control system is most widely used?",single_choice,"SVN|Mercurial|Git|Perforce","Git"
"What does IDE stand for?",single_choice,"Integrated Development Environment|Internal Development Engine|Interactive Design Editor|Integrated Debugging Engine","Integrated Development Environment"
"Which loop runs at least once regardless of condition?",single_choice,"for loop|while loop|do-while loop|foreach loop","do-while loop"
"What symbol is used to denote an ID selector in CSS?",single_choice,".|#|*|@","#"
"Which keyword is used to create a class in Java?",single_choice,"object|define|class|struct","class"
"What is the default port for HTTP?",single_choice,"21|80|443|8080","80"
"Which data structure uses LIFO order?",single_choice,"Queue|Array|Stack|Linked List","Stack"
"What does API stand for?",single_choice,"Application Programming Interface|Advanced Program Interaction|Applied Programming Internet|Application Process Integration","Application Programming Interface"
"Which JavaScript keyword declares a constant?",single_choice,"var|let|const|static","const"
"What is a bug in software development?",single_choice,"A hardware failure|A syntax style|An error or defect|A security feature","An error or defect"
"Which database is a NoSQL database?",single_choice,"MySQL|PostgreSQL|MongoDB|Oracle","MongoDB"
"What does CSS stand for?",single_choice,"Creative Style System|Cascading Style Sheets|Computer Style Syntax|Colorful Style Sheets","Cascading Style Sheets"
"Which command initializes a new Git repository?",single_choice,"git start|git init|git new|git create","git init"
"What is the main purpose of unit testing?",single_choice,"Test UI design|Test individual components|Test network speed|Test database size","Test individual components"
"Which symbol is used to access object properties in JavaScript?",single_choice,"::|->|.|#","."
"What does REST primarily use for communication?",single_choice,"FTP|SMTP|HTTP|SSH","HTTP"
"Which algorithm type compares elements to sort data?",single_choice,"Search|Sorting|Hashing|Recursion","Sorting"
"What is the output of 5 % 2?",single_choice,"0|1|2|2.5","1"
"Which phase comes first in the SDLC?",single_choice,"Testing|Deployment|Requirements Analysis|Maintenance","Requirements Analysis"
